Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Et-Et,ресторан быстрого питания,Кафе; Быстрое питание; Доставка готовых блюд; Суши-бары; Пиццерии,"проспект Абая, 13",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,2451,87775554443,,,etet.21@inbox.ru,,http://et-et.kamiqr.com/menu/1?type=for_order&utm_media=qr,,https://instagram.com/etet_kz,,,https://wa.me/77775554443,,,,,,51.166721,71.408174,https://2gis.com/firm/70000001056716743,branch
SF,,Кафе; Доставка готовых блюд; Суши-бары; Быстрое питание; Пиццерии; Рестораны,"улица Туркестан, 10",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,1080,87777888888 (служба доставки: круглосуточно ),,,,,http://shaurma-food.kz,,https://instagram.com/sf.qaz,,,https://wa.me/77777888888,,,,,https://youtube.com/@sf-2077,51.110439,71.425791,https://2gis.com/firm/70000001067180779,branch
Dami ,халяльное кафе,Кафе; Доставка готовых блюд,"улица Жумекен Нажимеденов, 12",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.4,531,87761011003,87776668991,,damicafe2018@gmail.com,,http://taplink.cc/dami_cafeastana,,https://instagram.com/dami_cafeastana,,,https://wa.me/77761011003,,,,,,51.11864,71.474707,https://2gis.com/firm/70000001083423420,branch
Family Baoli,семейный ресторан ,Кафе; Рестораны; Доставка готовых блюд,"улица Бухар жырау, 19",1-2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.4,207,87017425151,,,,,,,https://instagram.com/baoli.family,,,https://wa.me/77017425151,,,,,,51.100525,71.426017,https://2gis.com/firm/70000001083429486,branch
Мята,лаундж-бар,Кафе; Бары,"проспект Кабанбай батыр, 7",1 этаж; ВП: 11,,,Нура район,Астана,,Астана,Казахстан,Пн: 16:00-05:00; Вт: 16:00-05:00; Ср: 16:00-05:00; Чт: 16:00-05:00; Пт: 16:00-05:00; Сб: 16:00-05:00; Вс: 16:00-05:00,+05:00,4.1,319,87757769950,87717705555,,,,,,https://instagram.com/myatalounge_astana,,,https://wa.me/77757769950,https://wa.me/77717705555,,,,,51.142178,71.417304,https://2gis.com/firm/70000001022489106,branch
Delish,,Кафе; Кофейни; Кондитерские изделия; Доставка готовых блюд,"проспект Кабанбай батыр, 62",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.3,625,87011985171,,,,,,,https://instagram.com/delish.astana,,,https://wa.me/77011985171,,,,,,51.088542,71.410256,https://2gis.com/firm/70000001061725786,branch
Үш тандыр,кафе,Кафе; Банкетные залы; Бары; Доставка готовых блюд; Караоке-залы,"шоссе Коргалжын, 6",,,Караоткель-3 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+05:00,4.7,1702,87074201010,87075930202 (служба доставки: пн-вс круглосуточно),,,,,,https://instagram.com/ush_tandyr,,,https://wa.me/77074201010,https://wa.me/77075930202,,,https://t.me/+77074201010,,51.148804,71.384805,https://2gis.com/firm/70000001059993399,branch
CrepeCafe,,Кафе; Доставка готовых блюд; Рестораны,"проспект Мангилик Ел, 17",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.6,1161,87719494949,,,info@crepecafe.kz,,http://crepecafe.kz,,https://instagram.com/crepecafe_kz,https://facebook.com/crepecafekz,,https://wa.me/77719494949,,,,,,51.116723,71.433712,https://2gis.com/firm/70000001032988559,branch
Vo Dvore,кафе,Кафе; Доставка готовых блюд; Бары,"проспект Мангилик Ел, 17",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.3,301,87020512712,,,icabekova@mail.ru,kafe.vodvore@mail.ru,,,https://instagram.com/vo_dvore_mangilik,,,https://wa.me/77020512712,,,,,,51.116504,71.433634,https://2gis.com/firm/70000001079780653,branch
Шашлычок,кафе,Кафе; Быстрое питание; Доставка готовых блюд,"проспект Туран, 47/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.4,880,87009005900 (служба доставки),,,kaminurka@mail.ru,,http://shashlychok.kz,,https://instagram.com/shashlychok01,,,https://wa.me/77477829898,,,,,,51.121848,71.401001,https://2gis.com/firm/70000001066381783,branch
LAVASH Food,,Кафе; Быстрое питание; Доставка готовых блюд; Пиццерии; Суши-бары,"улица Сарайшык, 11а",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,2869,87016566000,87005511000,,,,http://lf.kz,,https://instagram.com/lavash_food_,,,https://wa.me/77016566000,https://wa.me/77005511000,,,,,51.134512,71.431359,https://2gis.com/firm/70000001040495802,branch
Okadzaki.kz,кафе,Кафе; Доставка готовых блюд; Суши-бары; Пиццерии; Быстрое питание,"проспект Мангилик Ел, 56",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.3,2655,87715250526 (кафе ),,,okadzaki.kz@mail.ru,,http://okadzaki.kz,,https://instagram.com/okadzaki.kz,,,https://wa.me/77715250526,,,,https://t.me/+77773333333,,51.088319,71.425144,https://2gis.com/firm/70000001046688777,branch
Quyrdaq House,семейное кафе,Кафе; Доставка готовых блюд,"улица Туркестан, 10",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.7,1181,87028590519 (служба доставки),,,,,,,https://instagram.com/quyrdaq_house,,,https://wa.me/77028590519,,,,,,51.109646,71.426629,https://2gis.com/firm/70000001066032033,branch
ШашлыкоFF,гриль-бар,Кафе; Бары; Доставка готовых блюд; Пиццерии; Суши-бары; Быстрое питание,"улица Керей-Жанибек хандар, 12Б",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-02:00,+05:00,4.4,4182,87023412828 (служба бронирования),87172472821 (служба бронирования),87750851212 (служба доставки),,,http://evgeniyvolkov.com/pano/shashlikoff1/index.html,,https://instagram.com/shashlikoff_kz,https://facebook.com/shashlikoffAstana,https://vk.com/shashlikoff_kz,https://wa.me/77023412828,https://wa.me/77075829393,,,,,51.115222,71.415091,https://2gis.com/firm/70000001025218312,branch
KaRima,центр плова,Кафе; Доставка готовых блюд,"проспект Мангилик Ел, 54",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,1788,87004487777,,,,,,,https://instagram.com/karima_plovcenter,,,,,,,,,51.089478,71.425559,https://2gis.com/firm/70000001062539740,branch
Grand Mangal,кафе,Кафе; Караоке-залы; Доставка готовых блюд; Бары,"улица Динмухамед Конаев, 12/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+05:00,4.5,49,87051388524,87476832870,,,,,,https://instagram.com/grand.mangal_astana,,,https://wa.me/77051388524,https://wa.me/77476832870,,,,,51.130069,71.428753,https://2gis.com/firm/70000001082432335,branch
Oasis,кафе,Кафе,"улица Карасакал Еримбет, 14а",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.5,81,87752907773,,,,,,,https://instagram.com/oasis_na_chubarah,,,https://wa.me/77752907773,https://wa.me/77782418636,,,https://t.me/+77752907773,,51.141676,71.420469,https://2gis.com/firm/70000001080545509,branch
