Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
SF,,Рестораны; Кафе; Доставка готовых блюд; Суши-бары; Быстрое питание; Пиццерии,"улица Туркестан, 10",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,1080,87777888888 (служба доставки: круглосуточно ),,,,,,http://shaurma-food.kz,,,https://instagram.com/sf.qaz,,,,https://wa.me/77777888888,,,,,,https://youtube.com/@sf-2077,51.110439,71.425791,https://2gis.com/firm/70000001067180779,branch
Family Baoli,семейный ресторан ,Рестораны; Доставка готовых блюд; Кафе,"улица Бухар жырау, 19",1-2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.4,207,87017425151,,,,,,,,,https://instagram.com/baoli.family,,,,https://wa.me/77017425151,,,,,,,51.100525,71.426017,https://2gis.com/firm/70000001083429486,branch
MeATADOR,гриль-бар,Рестораны; Караоке-залы; Бары,"проспект Туран, 60",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 13:00-01:00; Вт: 13:00-01:00; Ср: 13:00-01:00; Чт: 13:00-02:00; Пт: 13:00-02:00; Сб: 13:00-02:00; Вс: 13:00-01:00,+05:00,4.5,380,87010326660 (гриль-бар ),87172516850 (гриль-бар ),87010526660 (гостиница ),,,,http://meatador.2gis.biz/,,,https://instagram.com/meatador_astana,,,,https://wa.me/77010326660,,,,,,,51.100841,71.395926,https://2gis.com/firm/70000001061545801,branch
Polly&Molly,,Рестораны; Доставка готовых блюд; Бары; Кафе,"проспект Мангилик Ел, 45 блок J",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.7,236,87712427246 (управляющий),,,ros.ion1204@gmail.com,,,,,,https://instagram.com/pollymollykz,,,,https://wa.me/77712427246,,,viber://chat/?number=77712427246,https://t.me/+77712427246,,,51.099699,71.427689,https://2gis.com/firm/70000001059431748,branch
Ranch Social,гриль-бар,Рестораны; Бары; Доставка готовых блюд,"проспект Ракымжан Кошкарбаев, 10",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 14:00-03:00; Вт: 14:00-03:00; Ср: 14:00-03:00; Чт: 14:00-03:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-03:00,+05:00,4.7,54,87005247776,,,,,,http://ranch-social.kamiqr.com/menu/at-place,,,https://instagram.com/ranch.social,,,,https://wa.me/77005247776,,,,,,,51.126176,71.468605,https://2gis.com/firm/70000001081583833,branch
CrepeCafe,,Рестораны; Доставка готовых блюд; Кафе,"проспект Мангилик Ел, 17",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.6,1161,87719494949,,,info@crepecafe.kz,,,http://crepecafe.kz,,,https://instagram.com/crepecafe_kz,,https://facebook.com/crepecafekz,,https://wa.me/77719494949,,,,,,,51.116723,71.433712,https://2gis.com/firm/70000001032988559,branch
Marcello,ресторан,Рестораны; Доставка готовых блюд,"улица Туркестан, 28а",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.5,274,87004000037,,,,,,,,,https://instagram.com/marcello.restaurant,,,,https://wa.me/77004000037,,,,,,,51.101383,71.422785,https://2gis.com/firm/70000001046450890,branch
Bloom Room Cafe,семейный ресторан,Рестораны; Доставка готовых блюд,"проспект Туран, 52",,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.7,111,87057774440,,,,,,,,,https://instagram.com/bloomroom.cafe,,,,https://wa.me/77057774440,,,,,,,51.10557,71.397607,https://2gis.com/firm/70000001080574946,branch
Вечное Небо,ресторан,Рестораны; Бары,"улица Александр Бараев, 23",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+05:00,4.8,175,87087000377,,,nebo.astana@mail.ru,,,http://taplink.cc/vechnoenebobaraeva,,,https://instagram.com/vechnoe.nebo.baraeva,,,,https://wa.me/77087000377,,,,,,,51.159362,71.43811,https://2gis.com/firm/70000001081545536,branch
Deraliye,ресторан османской кухни,Рестораны; Доставка готовых блюд,"проспект Кабанбай батыр, 45/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.3,371,87754556006,,,deraliye.astana@gmail.com,,,,,,https://instagram.com/deraliye_astana,,,,https://wa.me/77754556006,,,,,,,51.111725,71.408159,https://2gis.com/firm/70000001065956795,branch
