question,answer,type
What is the title of the attraction?,Ethno-memorial complex «Atameken».,0
Where is the attraction located?,"The attraction is located at Астана, Коргалжинское шоссе, 2/1.",0
What is the phone number of the attraction?,+7 (7172) 79-04-39.,0
What is the link to the attraction's webpage?,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
When was the ethno-memorial complex 'Atameken' opened?,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
Who initiated the opening of the ethno-memorial complex 'Atameken'?,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
What is the objective of the Map of Kazakhstan 'Atameken'?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What does the educational and artistic complex 'Map of Kazakhstan 'Atameken' introduce visitors to?,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
What are the components of the symbolic ensemble of the complex?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
What interesting part is included in the Map of Kazakhstan 'Atameken'?,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
What is the price for a tour in Kazakh language?,The price for a tour in Kazakh language is 200 tenge.,0
What is the price for a tour in Russian language?,The price for a tour in Russian language is 200 tenge.,0
What is the price for a tour in English language?,The price for a tour in English language is 500 tenge.,0
What is the price for photography?,The price for photography is 300 tenge.,0
Who can enter the complex for free and out of turn?,Participants and invalids of the Second World War can enter the complex for free and out of turn upon presentation of supporting documents.,0
Who else can enter the complex for free?,"Disabled people of group I, II, and children with disabilities under 18 years of age can enter the complex for free upon presentation of supporting documents.",0
What discount do disabled people of group III get?,Disabled people of group III get a 50% discount from the entrance ticket price upon presentation of supporting documents.,0
Who else can enter the complex for free?,Orphans and children left without parental care who have not reached the age of 18 can enter the complex for free upon presentation of supporting documents.,0
What is the age limit for free entrance?,Children under 5 (five) years old can enter the complex for free upon presentation of supporting documents.,0
What is the title of the attraction?,«Nur-Alem» Future Energy Museum (EXPO).,1
Where is the attraction located?,"Астана, Орынбор , 55.",1
What is the phone number of the attraction?,+7 (7172) 79-04-39.,1
What is the link to the attraction's webpage?,https://astana.citypass.kz/en/2017/11/24/obektyi-naslediya-ekspo/,1
