Title,Address,Phone Number,Description,Schedule,Image,Link,Latitude,Longtitude
Ethno-memorial complex «Atameken»,"Астана, Коргалжинское шоссе, 2/1",+7 (7172) 79-04-39,"An open-air museum representing the cultural and architectural diversity of Kazakhstan, showcasing miniatures of famous buildings and landmarks from across the country.",St-Sn: closed,https://astana.citypass.kz/wp-content/uploads/2018/07/atam2-624x405.jpg,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,71.417785,51.149358
«Nur-Alem» Future Energy Museum (EXPO),"Астана, Орынбор , 55.",+7 (7172) 79-04-39,"A museum dedicated to energy and sustainability, showcasing innovative technologies and ideas for the future.","Пн: технический день, Вт-Пт: с 10:00 до 20:00",https://astana.citypass.kz/wp-content/uploads/2017/11/1-624x405.jpg,https://astana.citypass.kz/en/2017/11/24/obektyi-naslediya-ekspo/,71.41592,51.089312
Theater of animatronics «Jungle»,"г. Астана, Коргалжинское шоссе, 2",+7 (7172) 79-04-39,"A unique theater featuring animatronic animals and creatures, providing entertainment and educational experiences for visitors.","Mn-Fr: с 10:00 до 20:00, St-Sn: closed",https://astana.citypass.kz/wp-content/uploads/2017/09/da4-624x345.jpg,https://astana.citypass.kz/en/2017/09/15/teatr-animatroniksov-dzhungli/,71.416064,51.148035
The Palace of Peace and Reconciliation,"Астана, проспект Тауелсiздiк 57",+7 (7172) 79-04-39,"A symbolic building designed to promote global peace and understanding, hosting international conferences and events.",Mn-Fr: с 10:00 до 18:00,https://astana.citypass.kz/wp-content/uploads/пирамида.jpg,https://astana.citypass.kz/en/2018/02/15/dvorets-mira-i-soglasiya/,71.463494,51.123156
National Museum of the Republic of Kazakhstan,"Астана, пр. Тәуелсіздік, 54",+7 (7172) 79-04-39,"The largest museum in Kazakhstan, housing a vast collection of artifacts and exhibits that showcase the history and culture of the country.","Mn-Fr: с 10:00 до 18:00, St-Sn: closed",https://astana.citypass.kz/wp-content/uploads/2017/05/nm1-624x345.jpg,https://astana.citypass.kz/en/2017/05/15/natsionalnyiy-muzey-respubliki-kazahstan/,71.469453,51.118039
«Astana-Baiterek» Monument,"Астана, Нуржол бульвар, 14",+7 (7172) 79-04-39,"An iconic monument and observation tower symbolizing the unity and progress of Kazakhstan, offering panoramic views of the city.",Пн-Вс: с 09:00 до 22:00,https://astana.citypass.kz/wp-content/uploads/G6g4BFfWHK6qxwrmz-1.jpg,https://astana.citypass.kz/en/2017/05/15/bayterek/,71.430389,51.128314
The Oceanarium «Ailand»,"Астана, Коргалжинское шоссе, 2",+7 (7172) 79-04-39,"An aquarium showcasing a wide variety of marine life, providing educational opportunities and promoting conservation.",Пн-Пт: с 10:00 до 20:00,https://astana.citypass.kz/wp-content/uploads/2017/05/ok2-624x345.jpg,https://astana.citypass.kz/en/2017/05/15/rts-duman/,71.416064,51.148035
The Ferris Wheel «Ailand»,"Астана, Коргалжинское шоссе, 2",+7 (7172) 79-04-39,"A Ferris wheel offering panoramic views of the city and the surrounding area, providing a unique perspective on the landscape.",Пн-Вс: с 10:30 до 20:30,https://astana.citypass.kz/wp-content/uploads/s1200.jpg,https://astana.citypass.kz/en/2017/05/15/koleso-obozreniya-duman/,71.416064,51.148035
Exotarium “Ailand”,"Астана, Коргалжинское шоссе, 2",+7 (7172) 79-04-39,"An exotic animal park featuring a wide variety of species from around the world, offering educational programs and conservation initiatives.",Ежедневно: с 10:00 до 20:00,https://astana.citypass.kz/wp-content/uploads/ec97244da58e60554054757a94d5999c.jpg,https://astana.citypass.kz/en/2022/01/17/ekzotarium-ailand/,71.416064,51.148035
Museum of Saken Seifullin,"Астана, ул. Ауэзова, 20",+7 (7172) 79-04-39,"A museum dedicated to the life and works of Saken Seifullin, a prominent figure in Kazakh literature and culture.","Mn-Fr: с 9:00 до 17:00, St-Sn: closed",https://astana.citypass.kz/wp-content/uploads/2018/02/70-624x405.jpg,https://astana.citypass.kz/en/2018/02/15/muzey-sakena-seyfullina/,71.423479,51.171507
“Hall of gold” in the National Museum of the Republic of Kazakhstan,"Астана, проспект Тәуелсіздік, 54.",+7 (7172) 79-04-39,"An exhibit showcasing a collection of gold artifacts, highlighting the rich cultural heritage of Kazakhstan.","Пн: технический день, Вт-Вс: С 10:00 до 18:00",https://astana.citypass.kz/wp-content/uploads/зал-золота1.jpg,https://astana.citypass.kz/en/2018/09/05/zal-zoloto-v-nacionalynom-muzee-respubliki-kazahstan/,71.469453,51.118039
Palace of Independence,"Астана, проспект Тауелсыздык, 52",+7 (7172) 79-04-39,"A grand building serving as a symbol of Kazakhstan's independence and sovereignty, hosting official ceremonies and events.","Пн: технический день, Вт-Вс: с 10:00 до 18:00",https://astana.citypass.kz/wp-content/uploads/2018/04/11-624x405.jpg,https://astana.citypass.kz/en/2018/04/28/dvorets-nezavisimosti/,71.471906,51.120664
