Title,Address,Phone Number,Description,Schedule,Image,Link,Latitude,Longtitude
Этно – мемориальный комплекс «Атамекен»,"Астана, Коргалжинское шоссе, 2/1",+7 (7172) 79-04-39,"Музей под открытым небом, отражающий культурное и архитектурное разнообразие Казахстана, демонстрирующий миниатюры знаменитых зданий и достопримечательностей по всей стране.",Ежедневно: с 10:00 до 19:00,https://astana.citypass.kz/wp-content/uploads/2018/07/atam2-624x405.jpg,https://astana.citypass.kz/ru/2018/07/17/etno-memorialnyiy-kompleks-atameken/,71.417785,51.149358
Музей энергии будущего «Нур-Алем» (ЭКСПО),"Астана, Орынбор , 55.",+7 (7172) 79-04-39,"Музей, посвященный энергетике и устойчивому развитию, демонстрирующий инновационные технологии и идеи для будущего.","Понедельник: технический день, Вт - Вс: с 10:00 до 20:00",https://astana.citypass.kz/wp-content/uploads/2017/11/1-624x405.jpg,https://astana.citypass.kz/ru/2017/11/24/obektyi-naslediya-ekspo/,71.41592,51.089312
Театр аниматрониксов «Джунгли»,"г. Астана, Коргалжинское шоссе, 2",+7 (7172) 79-04-39,"Уникальный театр с аниматронными животными и существами, предоставляющий развлекательные и образовательные возможности для посетителей.","Пн-Пт: с 10:00 до 20:00, Сб-Вс: закрыт",https://astana.citypass.kz/wp-content/uploads/2017/09/da4-624x345.jpg,https://astana.citypass.kz/ru/2017/09/15/teatr-animatroniksov-dzhungli/,71.416064,51.148035
Дворец Мира и Согласия,"Астана, проспект Тауелсiздiк 57",+7 (7172) 79-04-39,"Символическое здание, способствующее мировому миру и пониманию, проведение международных конференций и мероприятий.",Вторник - Суббота: с 10:00 до 18:00,https://astana.citypass.kz/wp-content/uploads/пирамида.jpg,https://astana.citypass.kz/ru/2018/02/15/dvorets-mira-i-soglasiya/,71.463494,51.123156
Национальный музей Республики Казахстан,"Астана, пр. Тәуелсіздік, 54",+7 (7172) 79-04-39,"Самый большой музей в Казахстане, в котором хранится огромная коллекция артефактов и экспонатов, отражающих историю и культуру страны.","Понедельник: Технический день, Вт-Сб: с 10:00 - до 18:00",https://astana.citypass.kz/wp-content/uploads/2017/05/nm1-624x345.jpg,https://astana.citypass.kz/ru/2017/05/15/natsionalnyiy-muzey-respubliki-kazahstan/,71.469453,51.118039
Монумент «Астана-Байтерек»,"Астана, Нуржол бульвар, 14",+7 (7172) 79-04-39,"Иконический монумент и видовая башня, символизирующие единство и прогресс Казахстана, предлагающие панорамные виды на город.",Ежедневно: с 09:00 до 21:00,https://astana.citypass.kz/wp-content/uploads/G6g4BFfWHK6qxwrmz-1.jpg,https://astana.citypass.kz/ru/2017/05/15/bayterek/,71.430389,51.128314
Океанариум «Ailand»,"Астана, Коргалжинское шоссе, 2",+7 (7172) 79-04-39,"Аквариум, демонстрирующий разнообразие морской жизни, предоставляющий образовательные возможности и пропагандирующий охрану окружающей среды.",Ежедневно: с 10:00 до 20:00,https://astana.citypass.kz/wp-content/uploads/2017/05/ok2-624x345.jpg,https://astana.citypass.kz/ru/2017/05/15/rts-duman/,71.416064,51.148035
Колесо обозрения «Ailand»,"Астана, Коргалжинское шоссе, 2",+7 (7172) 79-04-39,"Колесо обозрения, предлагающее панорамные виды на город и окружающую местность, обеспечивая уникальную перспективу на ландшафт.",Ежедневно: с 10:00 до 20:00,https://astana.citypass.kz/wp-content/uploads/s1200.jpg,https://astana.citypass.kz/ru/2017/05/15/koleso-obozreniya-duman/,71.416064,51.148035
Экзотариум «Ailand»,"Астана, Коргалжинское шоссе, 2",+7 (7172) 79-04-39,"Экзотический зоопарк с разнообразием видов из разных уголков мира, предлагающий образовательные программы и инициативы по сохранению.",Ежедневно: с 10:00 до 20:00,https://astana.citypass.kz/wp-content/uploads/ec97244da58e60554054757a94d5999c.jpg,https://astana.citypass.kz/ru/2022/01/17/ekzotarium-ailand/,71.416064,51.148035
Музей Сакена Сейфуллина,"Астана, ул. Ауэзова, 20",+7 (7172) 79-04-39,"Музей, посвященный жизни и творчеству Сакена Сейфуллина, выдающейся фигуре казахской литературы и культуры.","Пн-Пт: с 09:00 до 17:00, Сб-Вс: закрыт",https://astana.citypass.kz/wp-content/uploads/2018/02/70-624x405.jpg,https://astana.citypass.kz/ru/2018/02/15/muzey-sakena-seyfullina/,71.423479,51.171507
